group,variable,value
Year,Year,1
Year,Lifeexpectancy,0.17
Year,AdultMortality,-0.08
Year,infantdeaths,-0.04
Year,Alcohol,-0.05
Year,percentageexpenditure,0.03
Year,HepatitisB,0.1
Year,Measles,-0.08
Year,BMI,0.11
Year,under-fivedeaths,-0.04
Year,Polio,0.09
Year,Totalexpenditure,0.09
Year,Diphtheria,0.13
Year,HIV/AIDS,-0.14
Year,GDP,0.1
Year,thinness1-19years,-0.05
Year,thinness5-9years,-0.05
Year,Incomecompositionofresources,0.24
Year,Schooling,0.21
Lifeexpectancy,Year,0.17
Lifeexpectancy,Lifeexpectancy,1
Lifeexpectancy,AdultMortality,-0.69
Lifeexpectancy,infantdeaths,-0.17
Lifeexpectancy,Alcohol,0.4
Lifeexpectancy,percentageexpenditure,0.42
Lifeexpectancy,HepatitisB,0.23
Lifeexpectancy,Measles,-0.14
Lifeexpectancy,BMI,0.57
Lifeexpectancy,under-fivedeaths,-0.2
Lifeexpectancy,Polio,0.46
Lifeexpectancy,Totalexpenditure,0.22
Lifeexpectancy,Diphtheria,0.47
Lifeexpectancy,HIV/AIDS,-0.56
Lifeexpectancy,GDP,0.45
Lifeexpectancy,thinness1-19years,-0.48
Lifeexpectancy,thinness5-9years,-0.47
Lifeexpectancy,Incomecompositionofresources,0.85
Lifeexpectancy,Schooling,0.76
AdultMortality,Year,-0.08
AdultMortality,Lifeexpectancy,-0.7
AdultMortality,AdultMortality,1
AdultMortality,infantdeaths,0.08
AdultMortality,Alcohol,-0.2
AdultMortality,percentageexpenditure,-0.24
AdultMortality,HepatitisB,-0.16
AdultMortality,Measles,0.03
AdultMortality,BMI,-0.39
AdultMortality,under-fivedeaths,0.09
AdultMortality,Polio,-0.27
AdultMortality,Totalexpenditure,-0.12
AdultMortality,Diphtheria,-0.28
AdultMortality,HIV/AIDS,0.52
AdultMortality,GDP,-0.3
AdultMortality,thinness1-19years,0.3
AdultMortality,thinness5-9years,0.31
AdultMortality,Incomecompositionofresources,-0.46
AdultMortality,Schooling,-0.45
infantdeaths,Year,-0.04
infantdeaths,Lifeexpectancy,-0.2
infantdeaths,AdultMortality,0.08
infantdeaths,infantdeaths,1
infantdeaths,Alcohol,-0.12
infantdeaths,percentageexpenditure,-0.09
infantdeaths,HepatitisB,-0.22
infantdeaths,Measles,0.5
infantdeaths,BMI,-0.23
infantdeaths,under-fivedeaths,1
infantdeaths,Polio,-0.17
infantdeaths,Totalexpenditure,-0.13
infantdeaths,Diphtheria,-0.18
infantdeaths,HIV/AIDS,0.03
infantdeaths,GDP,-0.11
infantdeaths,thinness1-19years,0.47
infantdeaths,thinness5-9years,0.47
infantdeaths,Incomecompositionofresources,-0.15
infantdeaths,Schooling,-0.19
Alcohol,Year,-0.05
Alcohol,Lifeexpectancy,0.4
Alcohol,AdultMortality,-0.2
Alcohol,infantdeaths,-0.12
Alcohol,Alcohol,1
Alcohol,percentageexpenditure,0.34
Alcohol,HepatitisB,0.09
Alcohol,Measles,-0.05
Alcohol,BMI,0.33
Alcohol,under-fivedeaths,-0.11
Alcohol,Polio,0.22
Alcohol,Totalexpenditure,0.3
Alcohol,Diphtheria,0.22
Alcohol,HIV/AIDS,-0.05
Alcohol,GDP,0.35
Alcohol,thinness1-19years,-0.42
Alcohol,thinness5-9years,0.45
Alcohol,Incomecompositionofresources,0.55
Alcohol,Schooling,0.55
percentageexpenditure,Year,0.03
percentageexpenditure,Lifeexpectancy,0.38
percentageexpenditure,AdultMortality,-0.24
percentageexpenditure,infantdeaths,-0.09
percentageexpenditure,Alcohol,0.34
percentageexpenditure,percentageexpenditure,1
percentageexpenditure,HepatitisB,0.02
percentageexpenditure,Measles,-0.06
percentageexpenditure,BMI,0.23
percentageexpenditure,under-fivedeaths,-0.09
percentageexpenditure,Polio,0.15
percentageexpenditure,Totalexpenditure,0.17
percentageexpenditure,Diphtheria,0.14
percentageexpenditure,HIV/AIDS,-0.1
percentageexpenditure,GDP,0.9
percentageexpenditure,thinness1-19years,-0.25
percentageexpenditure,thinness5-9years,-0.25
percentageexpenditure,Incomecompositionofresources,0.38
percentageexpenditure,Schooling,0.39
HepatitisB,Year,0.1
HepatitisB,Lifeexpectancy,0.26
HepatitisB,AdultMortality,-0.16
HepatitisB,infantdeaths,-0.22
HepatitisB,Alcohol,0.09
HepatitisB,percentageexpenditure,0.02
HepatitisB,HepatitisB,1
HepatitisB,Measles,-0.12
HepatitisB,BMI,0.15
HepatitisB,under-fivedeaths,-0.23
HepatitisB,Polio,0.49
HepatitisB,Totalexpenditure,0.06
HepatitisB,Diphtheria,0.61
HepatitisB,HIV/AIDS,-0.11
HepatitisB,GDP,0.08
HepatitisB,thinness1-19years,-0.12
HepatitisB,thinness5-9years,-0.12
HepatitisB,Incomecompositionofresources,0.2
HepatitisB,Schooling,0.23
Measles,Year,-0.08
Measles,Lifeexpectancy,-0.16
Measles,AdultMortality,0.03
Measles,infantdeaths,0.5
Measles,Alcohol,-0.05
Measles,percentageexpenditure,-0.06
Measles,HepatitisB,-0.12
Measles,Measles,1
Measles,BMI,-0.18
Measles,under-fivedeaths,0.51
Measles,Polio,-0.14
Measles,Totalexpenditure,-0.11
Measles,Diphtheria,-0.14
Measles,HIV/AIDS,0.03
Measles,GDP,-0.08
Measles,thinness1-19years,0.22
Measles,thinness5-9years,0.22
Measles,Incomecompositionofresources,-0.13
Measles,Schooling,-0.14
BMI,Year,0.11
BMI,Lifeexpectancy,0.57
BMI,AdultMortality,-0.39
